,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
159,159,9.0,0.935699999332428,"candy, game, time, get, , move, suggestion, player, life, bank",5242236264,com.midasplayer.apps.candycrushsaga
160,160,6.0,0.8499000072479248,"game, level, ad, get, middle, , time, update, every, make",5242157103,com.midasplayer.apps.candycrushsaga
161,161,2.0,0.8337000012397766,"game, level, candy, reset, money, get, booster, life, year, back",5242136511,com.midasplayer.apps.candycrushsaga
162,162,0.0,0.41370001435279846,"update, , new, back, game, level, bring, board, reset, gold",5241890361,com.midasplayer.apps.candycrushsaga
163,163,8.0,0.9308000206947327,"game, life, level, update, buy, u, get, , let, got",5241595469,com.midasplayer.apps.candycrushsaga
164,164,0.0,0.871399998664856,"update, , new, back, game, level, bring, board, reset, gold",5241479144,com.midasplayer.apps.candycrushsaga
165,165,6.0,0.4706999957561493,"game, level, ad, get, middle, , time, update, every, make",5241448921,com.midasplayer.apps.candycrushsaga
166,166,7.0,0.6031000018119812,"booster, game, life, get, move, level, without, exit, year, done",5241445552,com.midasplayer.apps.candycrushsaga
167,167,0.0,0.9526000022888184,"update, , new, back, game, level, bring, board, reset, gold",5241398381,com.midasplayer.apps.candycrushsaga
168,168,5.0,0.5304999947547913,"level, game, app, reset, longer, money, life, king, deleting, harder",5241291881,com.midasplayer.apps.candycrushsaga
169,169,0.0,0.925000011920929,"update, , new, back, game, level, bring, board, reset, gold",5241229328,com.midasplayer.apps.candycrushsaga
170,170,0.0,0.5636000037193298,"update, , new, back, game, level, bring, board, reset, gold",5241166677,com.midasplayer.apps.candycrushsaga
171,171,0.0,0.41200000047683716,"update, , new, back, game, level, bring, board, reset, gold",5241123995,com.midasplayer.apps.candycrushsaga
172,172,2.0,0.9639999866485596,"game, level, candy, reset, money, get, booster, life, year, back",5241064660,com.midasplayer.apps.candycrushsaga
173,173,2.0,0.9624999761581421,"game, level, candy, reset, money, get, booster, life, year, back",5241051445,com.midasplayer.apps.candycrushsaga
174,174,7.0,0.5189999938011169,"booster, game, life, get, move, level, without, exit, year, done",5240819935,com.midasplayer.apps.candycrushsaga
175,175,2.0,0.7633000016212463,"game, level, candy, reset, money, get, booster, life, year, back",5240760709,com.midasplayer.apps.candycrushsaga
176,176,9.0,0.96670001745224,"candy, game, time, get, , move, suggestion, player, life, bank",5240692767,com.midasplayer.apps.candycrushsaga
177,177,0.0,0.9399999976158142,"update, , new, back, game, level, bring, board, reset, gold",5240681471,com.midasplayer.apps.candycrushsaga
178,178,2.0,0.579800009727478,"game, level, candy, reset, money, get, booster, life, year, back",5240601508,com.midasplayer.apps.candycrushsaga
179,179,5.0,0.9549999833106995,"level, game, app, reset, longer, money, life, king, deleting, harder",5240576765,com.midasplayer.apps.candycrushsaga
180,180,7.0,0.9609000086784363,"booster, game, life, get, move, level, without, exit, year, done",5240521732,com.midasplayer.apps.candycrushsaga
181,181,7.0,0.6991000175476074,"booster, game, life, get, move, level, without, exit, year, done",5240444434,com.midasplayer.apps.candycrushsaga
182,182,0.0,0.949999988079071,"update, , new, back, game, level, bring, board, reset, gold",5240426890,com.midasplayer.apps.candycrushsaga
183,183,4.0,0.43149998784065247,"ad, game, many, level, , every, way, second, too, middle",5240384684,com.midasplayer.apps.candycrushsaga
184,184,2.0,0.781499981880188,"game, level, candy, reset, money, get, booster, life, year, back",5240338401,com.midasplayer.apps.candycrushsaga
185,185,4.0,0.4066999852657318,"ad, game, many, level, , every, way, second, too, middle",5240337902,com.midasplayer.apps.candycrushsaga
186,186,2.0,0.6327999830245972,"game, level, candy, reset, money, get, booster, life, year, back",5240210140,com.midasplayer.apps.candycrushsaga
187,187,7.0,0.9735000133514404,"booster, game, life, get, move, level, without, exit, year, done",5240101206,com.midasplayer.apps.candycrushsaga
